id,ACTION
1,0.8622280753097259
2,1
3,1
4,1
5,1
6,1
7,0.9949999999999999
8,0.9944444444444445
9,0.9762152777777778
10,0.9947530864197531
11,0.9252455842335626
12,0.997548325068313
13,0.9756944444444444
14,0.9416666666666668
15,0.9875
16,0.945
17,0.8933531746031746
18,0.998043173043173
19,1
20,1
21,0.9882271557271558
22,1
23,0.9587254901960783
24,0.975
25,1
26,0.9228373015873016
27,1
28,0.9669517675963565
29,1
30,1
31,0.9940715082461846
32,1
33,1
34,1
35,0.9640857301046128
36,1
37,0.9844444444444445
38,0.975
39,0.9943826037877838
40,0.936190476190476
41,1
42,0.975
43,0.9952897848420236
44,0.9984054669703873
45,0.9357142857142857
46,1
47,1
48,0.996588486140725
49,1
50,0.8509722222222222
51,0.9297338881029212
52,1
53,0.9909243492659575
54,1
55,0.9516666666666665
56,0.996588486140725
57,0.9847691033340237
58,0.985
59,0.9949999999999999
60,0.9204166666666665
61,1
62,0.9140699126092384
63,0.9939024390243902
64,1
65,1
66,1
67,0.95486928104575175
68,1
69,0.9857194919960877
70,0.6214087301587301
71,0.9244297082228116
72,0.9944444444444445
73,1
74,0.9944444444444445
75,1
76,1
77,1
78,0.8153328360329638
79,0.5206746031746031
80,0.9875
81,0.9475
82,0.9911585365853659
83,0.9928571428571429
84,0.99375
85,1
86,0.9534218194740582
87,1
88,0.9994949494949494
89,1
90,0.7716666666666666
91,1
92,0.6937710900210899
93,1
94,0.9416431730627723
95,0.9798161764705883
96,0.9333333333333333
97,0.4189836963297374
98,0.8875541125541127
99,1
100,1
101,0.889133089133089
102,0.7804166666666668
103,0.997396066577101
104,0.9928819444444444
105,0.5954166666666667
106,0.9857142857142858
107,1
108,0.9816497747747747
109,1
110,0.9607365792759051
111,0.7338928202205588
112,1
113,0.948366194383809
114,0.9701587301587301
115,0.9807539682539683
116,1
117,0.9741573290438152
118,0.9916666666666666
119,1
120,0.9527777777777778
121,0.8324603174603175
122,0.9991071428571429
123,1
124,0.8652380952380951
125,1
126,0.942610229276896
127,0.855952380952381
128,0.8900259462759464
129,1
130,0.8058333333333334
131,1
132,1
133,0.9704761904761906
134,0.9833333333333332
135,0.9888888888888889
136,1
137,0.9954987924584493
138,0.9991071428571429
139,0.8677014652014652
140,1
141,0.984697152025672
142,0.9766666666666666
143,1
144,0.975
145,1
146,0.737092490842491
147,0.9883116883116884
148,0.9754761904761905
149,1
150,1
151,1
152,0.4269047619047619
153,1
154,0.9846209172603156
155,0.9940699126092385
156,0.972100927527757
157,0.9123366013071894
158,1
159,0.701403318903319
160,1
161,0.8246428571428572
162,1
163,0.9777777777777776
164,0.958379594136941
165,1
166,0.9533333333333334
167,0.9120090233032127
168,0.9233302509872431
169,0.975
170,1
171,0.9416666666666667
172,1
173,0.9847159376571142
174,1
175,0.93
176,0.9666666666666666
177,0.9125
178,1
179,1
180,0.9954545454545455
181,0.8471675355098258
182,0.9791666666666667
183,0.8761904761904763
184,0.6397626032159931
185,1
186,0.8829166666666668
187,1
188,0.9746419341528035
189,0.5134978669943603
190,1
191,1
192,0.9564102564102563
193,1
194,0.9928571428571429
195,1
196,1
197,1
198,0.9636014038231779
199,1
200,0.42503790776116446
201,1
202,0.8722222222222223
203,0.9889024390243903
204,0.9003888567405909
205,0.8905555555555555
206,0.975
207,0.971032585614455
208,0.9743324771645663
209,0.6183531746031746
210,0.620417365120755
